times,sauna,lüftung,gastronomie,gesundheitspark,technik,gesamt
02-11-2013 16:30:00,17910.1,20166.1,31593.3,36674.6,61103.5,228000.0
02-11-2013 16:45:00,19945.3,20164.1,21629.1,35892.8,61187.8,229333.3
02-11-2013 17:00:00,20663.8,20226.7,30816.5,38755.2,60830.0,221333.3
02-11-2013 17:15:00,19145.0,20008.2,35036.0,35481.0,53540.3,236000.0
02-11-2013 17:30:00,20648.1,20217.5,38923.1,33576.6,43049.6,233333.3
02-11-2013 17:45:00,22584.1,20232.9,21392.2,41404.6,40787.5,229333.3
02-11-2013 18:00:00,23247.6,20221.0,25248.2,34403.2,43172.5,222666.7
02-11-2013 18:15:00,21437.1,20152.6,37893.1,34251.8,41171.3,214666.7
02-11-2013 18:30:00,20689.8,19926.5,32235.2,35473.9,43417.4,221333.3
02-11-2013 18:45:00,21887.6,20097.4,32596.9,35722.3,40847.1,216000.0
02-11-2013 19:00:00,19319.2,20122.4,21686.3,34725.3,43382.6,216000.0
02-11-2013 19:15:00,18942.1,20113.5,26720.4,33608.1,42771.6,202666.7
02-11-2013 19:30:00,16400.4,20105.0,28864.0,35184.7,41945.7,206666.7
02-11-2013 19:45:00,17864.6,19890.9,21022.7,35422.1,43737.3,208000.0
02-11-2013 20:00:00,16497.2,20109.2,27175.1,34612.8,41292.6,204000.0
02-11-2013 20:15:00,15617.7,20132.8,17690.8,36708.9,43396.8,212000.0
02-11-2013 20:30:00,15830.9,20104.6,11998.3,37817.8,41065.3,202666.7
02-11-2013 20:45:00,9152.1,20168.9,7715.4,36446.2,29574.9,190666.7
02-11-2013 21:00:00,8092.5,19991.1,8968.3,32597.3,27254.9,170666.7
02-11-2013 21:15:00,8849.7,20184.5,6919.8,32541.6,38671.2,157333.3
02-11-2013 21:30:00,4442.4,20195.4,4819.1,35620.8,48616.5,160000.0
02-11-2013 21:45:00,2027.5,20181.8,4825.2,33656.3,48358.4,162666.7
02-11-2013 22:00:00,1161.4,20226.7,4725.0,29808.3,39724.2,160000.0
02-11-2013 22:15:00,1194.7,20058.4,4935.8,26265.6,38908.5,137333.3
02-11-2013 22:30:00,1369.8,20218.9,6109.8,24576.6,38970.9,133333.3
02-11-2013 22:45:00,1240.6,20271.1,5357.9,25400.5,39293.0,129333.3
02-11-2013 23:00:00,1191.0,20242.7,5301.0,24839.6,38938.8,132000.0
02-11-2013 23:15:00,1178.2,20253.3,5304.0,25254.9,39111.9,126666.7
02-11-2013 23:30:00,1254.0,20256.5,5399.1,24303.0,39153.6,125333.3
02-11-2013 23:45:00,1202.8,20038.5,4383.5,25384.2,39465.5,124000.0
03-11-2013 00:00:00,1241.6,20197.9,4357.1,24587.1,22308.7,122666.7
03-11-2013 00:15:00,1255.3,20209.0,4054.0,24787.5,21118.4,105333.3
03-11-2013 00:30:00,1174.4,20212.7,4002.1,26091.4,18803.0,104000.0
03-11-2013 00:45:00,1315.2,20248.6,3920.4,25969.2,20810.9,100000.0
03-11-2013 01:00:00,1172.9,20042.1,4148.1,24019.0,18556.2,104000.0
03-11-2013 01:15:00,1274.4,20233.6,5308.2,26813.5,20515.1,96000.0
03-11-2013 01:30:00,1236.2,20251.3,5024.4,30225.3,18277.4,100000.0
03-11-2013 01:45:00,1193.9,20247.8,4166.0,28097.3,20205.0,102666.7
03-11-2013 02:00:00,1259.1,20230.8,3818.1,27064.2,19526.6,102666.7
03-11-2013 02:15:00,1197.5,20057.6,3923.6,28571.3,19308.0,98666.7
03-11-2013 02:30:00,1317.2,20231.3,3866.0,29539.6,20419.5,100000.0
03-11-2013 02:45:00,1159.0,20260.6,3770.0,28206.3,17994.6,100000.0
03-11-2013 03:00:00,1260.6,20251.1,3972.1,26474.0,20625.7,94666.7
03-11-2013 03:15:00,1191.2,20239.9,3952.2,28788.5,18475.0,101333.3
03-11-2013 03:30:00,1162.3,20062.9,4089.7,28613.3,20469.4,98666.7
03-11-2013 03:45:00,1266.5,20221.7,4133.1,25355.4,18457.4,102666.7
03-11-2013 04:00:00,1291.6,20242.6,3989.0,23845.7,38608.0,96000.0
03-11-2013 04:15:00,1065.7,20236.5,5057.3,25120.4,39467.4,114666.7
03-11-2013 04:30:00,1190.0,20250.2,5482.2,34730.6,38734.1,120000.0
03-11-2013 04:45:00,1920.4,20247.9,4075.3,31113.5,39101.9,128000.0
03-11-2013 05:00:00,3697.4,19947.0,4461.6,31766.8,38671.5,128000.0
03-11-2013 05:15:00,3581.5,20098.3,5317.0,26807.4,38672.0,142666.7
03-11-2013 05:30:00,3457.8,20091.1,8931.6,29319.7,38992.4,140000.0
03-11-2013 05:45:00,3751.2,20090.0,23300.1,27662.6,38808.5,148000.0
03-11-2013 06:00:00,3900.9,20070.8,21271.1,27538.6,46842.7,162666.7
03-11-2013 06:15:00,3784.3,19852.5,17592.2,27259.1,47203.5,170666.7
03-11-2013 06:30:00,3853.6,20029.5,10588.9,24642.5,41496.3,172000.0
03-11-2013 06:45:00,3694.3,20086.7,10652.5,29449.2,29496.8,157333.3
03-11-2013 07:00:00,3860.4,20164.1,14158.5,26426.0,27031.4,152000.0
03-11-2013 07:15:00,3807.2,20162.5,36951.0,24110.3,29621.2,150666.7
03-11-2013 07:30:00,3723.8,19956.5,42916.3,24808.7,26883.8,174666.7
03-11-2013 07:45:00,3648.2,20136.8,41520.7,32199.4,29049.7,177333.3
03-11-2013 08:00:00,3181.9,19993.9,45690.0,31368.9,43216.0,185333.3
03-11-2013 08:15:00,30767.2,20013.3,30210.2,31304.1,41706.9,205333.3
03-11-2013 08:30:00,32436.9,20003.7,42958.1,29656.8,43304.5,212000.0
03-11-2013 08:45:00,27308.2,19859.3,48912.8,29499.9,41009.0,226666.7
03-11-2013 09:00:00,24104.2,20026.8,34691.8,31548.3,43022.2,228000.0
03-11-2013 09:15:00,25087.8,19767.4,36696.8,42618.0,37072.2,214666.7
03-11-2013 09:30:00,21861.1,19776.6,39308.4,37831.1,39511.6,220000.0
03-11-2013 09:45:00,23920.8,19875.4,46614.4,29128.4,38897.6,220000.0
